10 , Generation , 78 , Euclid , 1041.0727296298733
2 , Generation , 11 , Euclid , 1033.941489511663
6 , Generation , 45 , Euclid , 1251.483410153725
7 , Generation , 51 , Euclid , 1284.8336011134288
8 , Generation , 58 , Euclid , 1567.130849786721
3 , Generation , 22 , Euclid , 1588.3580423092649
4 , Generation , 27 , Euclid , 1774.7316391559964
5 , Generation , 37 , Euclid , 1825.2353122603831
20 , Generation , 154 , Euclid , 0
20 , Generation , 155 , Euclid , 0
20 , Generation , 156 , Euclid , 31.08144208826122
20 , Generation , 157 , Euclid , 0
20 , Generation , 158 , Euclid , 12.525762276529262
20 , Generation , 159 , Euclid , 0
20 , Generation , 160 , Euclid , 18.616835693529573
20 , Generation , 161 , Euclid , 36.14194684360102
20 , Generation , 161 , Euclid , 72.283893687202
19 , Generation , 147 , Euclid , 91.66857913989796
17 , Generation , 137 , Euclid , 203.93071494044958
18 , Generation , 139 , Euclid , 271.35598380645234
16 , Generation , 123 , Euclid , 342.8788189654934
14 , Generation , 107 , Euclid , 495.4361127534044
15 , Generation , 115 , Euclid , 548.4386229066189
13 , Generation , 98 , Euclid , 549.9007600379364
1 , Generation , 2 , Euclid , 677.1805152261791
12 , Generation , 93 , Euclid , 907.4311588307213
9 , Generation , 70 , Euclid , 917.6673905505911
11 , Generation , 84 , Euclid , 1096.5244498272286
2 , Generation , 11 , Euclid , 1088.3594626438583
10 , Generation , 78 , Euclid , 1135.7157050507676
6 , Generation , 45 , Euclid , 1334.9156374973065
7 , Generation , 51 , Euclid , 1376.6074297643895
8 , Generation , 58 , Euclid , 1687.6793766933895
3 , Generation , 22 , Euclid , 1676.6001557708914
4 , Generation , 27 , Euclid , 1879.127617929877
5 , Generation , 37 , Euclid , 1939.3125192766565
21 , Generation , 162 , Euclid , 6.701390021591088
21 , Generation , 163 , Euclid , 0
21 , Generation , 164 , Euclid , 17.380278052165895
21 , Generation , 165 , Euclid , 28.14961956111066
21 , Generation , 166 , Euclid , 0
21 , Generation , 167 , Euclid , 49.29852995894309
21 , Generation , 168 , Euclid , 45.189306162367394
21 , Generation , 169 , Euclid , 58.78082568353605
21 , Generation , 169 , Euclid , 117.56165136707206
20 , Generation , 161 , Euclid , 108.42584053080306
19 , Generation , 147 , Euclid , 122.22477218653066
17 , Generation , 137 , Euclid , 244.71685792853947
18 , Generation , 139 , Euclid , 339.19497975806553
16 , Generation , 123 , Euclid , 400.0252887930756
14 , Generation , 107 , Euclid , 557.3656268475805
15 , Generation , 115 , Euclid , 626.7869976075646
13 , Generation , 98 , Euclid , 611.0008444865956
1 , Generation , 2 , Euclid , 709.4272064274251
12 , Generation , 93 , Euclid , 998.1742747137931
9 , Generation , 70 , Euclid , 988.2571898237135
2 , Generation , 11 , Euclid , 1142.7774357760536
11 , Generation , 84 , Euclid , 1196.2084907206113
10 , Generation , 78 , Euclid , 1230.358680471662
6 , Generation , 45 , Euclid , 1418.3478648408882
7 , Generation , 51 , Euclid , 1468.3812584153502
3 , Generation , 22 , Euclid , 1764.842269232518
8 , Generation , 58 , Euclid , 1808.227903600058
4 , Generation , 27 , Euclid , 1983.5235967037577
5 , Generation , 37 , Euclid , 2053.3897262929295
22 , Generation , 170 , Euclid , 42.37348916369414
22 , Generation , 171 , Euclid , 0
22 , Generation , 172 , Euclid , 0
22 , Generation , 173 , Euclid , 14.12679527856095
22 , Generation , 174 , Euclid , 0
22 , Generation , 175 , Euclid , 17.309967824768155
22 , Generation , 176 , Euclid , 0
22 , Generation , 177 , Euclid , 30.819191161475306
22 , Generation , 170 , Euclid , 84.74697832738832
20 , Generation , 161 , Euclid , 144.56778737440396
21 , Generation , 169 , Euclid , 176.34247705060812
19 , Generation , 147 , Euclid , 152.78096523316347
17 , Generation , 137 , Euclid , 285.50300091662945
18 , Generation , 139 , Euclid , 407.0339757096787
16 , Generation , 123 , Euclid , 457.17175862065784
14 , Generation , 107 , Euclid , 619.2951409417573
13 , Generation , 98 , Euclid , 672.1009289352548
15 , Generation , 115 , Euclid , 705.1353723085102
1 , Generation , 2 , Euclid , 741.673897628671
9 , Generation , 70 , Euclid , 1058.8469890968354
12 , Generation , 93 , Euclid , 1088.9173905968646
2 , Generation , 11 , Euclid , 1197.195408908249
11 , Generation , 84 , Euclid , 1295.892531613994
10 , Generation , 78 , Euclid , 1325.0016558925563
6 , Generation , 45 , Euclid , 1501.7800921844698
7 , Generation , 51 , Euclid , 1560.155087066311
3 , Generation , 22 , Euclid , 1853.0843826941446
8 , Generation , 58 , Euclid , 1928.7764305067265
4 , Generation , 27 , Euclid , 2087.9195754776392
5 , Generation , 37 , Euclid , 2167.4669333092065
23 , Generation , 178 , Euclid , 15.608023476323945
23 , Generation , 179 , Euclid , 0
23 , Generation , 180 , Euclid , 10.570702715183947
23 , Generation , 181 , Euclid , 23.112373482959338
23 , Generation , 182 , Euclid , 0
23 , Generation , 183 , Euclid , 22.940454955830834
23 , Generation , 184 , Euclid , 0
23 , Generation , 185 , Euclid , 0
23 , Generation , 181 , Euclid , 46.22474696591873
22 , Generation , 170 , Euclid , 127.12046749108258
20 , Generation , 161 , Euclid , 180.70973421800497
19 , Generation , 147 , Euclid , 183.33715827979628
21 , Generation , 169 , Euclid , 235.12330273414403
17 , Generation , 137 , Euclid , 326.2891439047194
18 , Generation , 139 , Euclid , 474.8729716612919
16 , Generation , 123 , Euclid , 514.3182284482398
14 , Generation , 107 , Euclid , 681.224655035934
13 , Generation , 98 , Euclid , 733.2010133839141
15 , Generation , 115 , Euclid , 783.4837470094559
1 , Generation , 2 , Euclid , 773.920588829917
9 , Generation , 70 , Euclid , 1129.4367883699572
12 , Generation , 93 , Euclid , 1179.6605064799396
2 , Generation , 11 , Euclid , 1251.6133820404443
11 , Generation , 84 , Euclid , 1395.5765725073766
10 , Generation , 78 , Euclid , 1419.6446313134506
6 , Generation , 45 , Euclid , 1585.2123195280515
7 , Generation , 51 , Euclid , 1651.9289157172716
3 , Generation , 22 , Euclid , 1941.326496155771
8 , Generation , 58 , Euclid , 2049.3249574133956
4 , Generation , 27 , Euclid , 2192.3155542515283
5 , Generation , 37 , Euclid , 2281.5441403254836
24 , Generation , 186 , Euclid , 42.36829153294998
24 , Generation , 187 , Euclid , 43.51897823703078
24 , Generation , 188 , Euclid , 53.051534040493344
24 , Generation , 189 , Euclid , 26.152788696365953
24 , Generation , 190 , Euclid , 9.333260080014865
24 , Generation , 191 , Euclid , 0
24 , Generation , 192 , Euclid , 57.60017540107859
24 , Generation , 193 , Euclid , 28.140509072444907
24 , Generation , 188 , Euclid , 106.1030680809866
24 , Generation , 192 , Euclid , 115.20035080215732
22 , Generation , 170 , Euclid , 169.49395665477664
20 , Generation , 161 , Euclid , 216.85168106160597
19 , Generation , 147 , Euclid , 213.8933513264291
21 , Generation , 169 , Euclid , 293.90412841767994
17 , Generation , 137 , Euclid , 367.0752868928094
18 , Generation , 139 , Euclid , 542.7119676129047
16 , Generation , 123 , Euclid , 571.46469827582
14 , Generation , 107 , Euclid , 743.1541691301107
13 , Generation , 98 , Euclid , 794.3010978325733
1 , Generation , 2 , Euclid , 806.167280031163
15 , Generation , 115 , Euclid , 861.8321217104016
9 , Generation , 70 , Euclid , 1200.026587643079
12 , Generation , 93 , Euclid , 1270.4036223630146
